"OBJECTID","Season_longshort","DEM_IA","TPI_IA","Slope_IA","d2water_IA","d2edge_IA","d2Landfills_IA","d2Feedlots_IA","d2streets","d2nestsV2_IA","northness","month_factor","risk_class","risk_name","validation_set"
794431,"Fledgling period",259,0.44,1.64,2299.95,432.11,8073.64,9691.65,222.09,7064.64,-0.997438340407019,"Sep",0,"Low","Test"
152071,"Fledgling period",210.71,-0.58,0.49,38.65,19.05,9316.24,15236.41,414.94,226.32,-0.992998036698093,"Jun",2,"High","Train"
2056585,"Local movements",340.08,2.41,3.4,348.54,-191.45,22535.94,1738.54,323.68,2866.46,0.0207948278030924,"Mar",2,"High","Test"
1005050,"Local movements",316.82,0.07,0.53,37.17,-1.77,17237.7,1492.74,418.49,1775.54,-0.808964786630086,"Sep",1,"Moderate","Train"
1262880,"Local movements",212.73,-0.15,0.16,0,68.37,21883.89,7288.77,424.88,4364.66,0.999950000416665,"Dec",2,"High","Test"
2080406,"Local movements",272.72,3.86,7.21,274.55,-122.96,11111.71,6686.36,740.78,2938.85,0.506220257232778,"Mar",2,"High","Train"
2170336,"Local movements",326.8,-0.02,1,1987.78,854.03,14501.05,792.1,475.9,2757.25,-0.984127576978514,"Apr",0,"Low","Test"
1982073,"Local movements",297.8,-0.02,0.3,1036.41,272.94,14053.06,2301.75,216.29,9002.7,-0.379451764788155,"Mar",2,"High","Test"
1684867,"Local movements",221.41,0.63,2.34,198.21,67.55,5328.71,5886.37,560.37,4307.21,-0.62036161201268,"Aug",0,"Low","Train"
1855993,"Local movements",211.51,-0.32,0.63,13589.36,83.44,2672.98,1713.25,298.22,659.72,-0.958698082843669,"Feb",2,"High","Test"
1467063,"Local movements",166.47,0.02,0.1,464.46,25.98,15107.35,3094.83,339.77,1232.43,-0.807088180396146,"Jul",0,"Low","Train"
1217483,"Fledgling period",328.82,-0.18,1.66,814.82,480.27,16819.62,620.06,251.95,1735.22,-0.942222340668658,"Aug",0,"Low","Test"
1804855,"Local movements",226.62,-0.57,2.22,7074.91,625.99,15024.45,405.14,348.68,13573.73,-0.997661129766618,"Feb",0,"Low","Train"
2416129,"Local movements",272.28,-2.51,5.23,2338.03,-3.84,9523.25,10443.49,459.77,4310.89,-0.991767098339465,"Apr",2,"High","Train"
1385539,"Local movements",242.55,0.03,0.36,6965.98,693.6,6010.53,3002.92,237.38,14849.92,-0.858526433742102,"Oct",2,"High","Train"
995016,"Local movements",283.54,-0.03,1.16,2963.57,1045.85,13184.58,1253.7,189.18,2021.13,0.819648017845479,"Sep",0,"Low","Test"
382907,"Local movements",160.12,0.06,0.17,475.62,28.67,9203.83,5320.97,352.64,3885.3,-0.452176162140912,"Aug",0,"Low","Train"
2331866,"Local movements",230.85,0.02,0.07,782.49,48.74,13854.32,3308.45,831.02,1252.41,-0.871965903851917,"Apr",2,"High","Train"
1885710,"Local movements",180.07,-0.01,0.27,62.94,-51.07,22418.59,7776.15,1278.5,635.32,-0.56398505756941,"Feb",2,"High","Test"
254980,"Local movements",233.09,0.11,0.26,87.98,-8.5,14843.83,10959.58,342.58,12962.6,-0.999964658471342,"Oct",2,"High","Test"
1170077,"Local movements",195.55,-0.17,1.35,15.26,1.55,3617.72,6010.6,183.91,3828.94,0.0775331284649787,"Jan",2,"High","Train"
1308695,"Fledgling period",244.74,-0.05,4.48,378.12,54.32,14546.88,5772.55,88.7,498.62,-0.547357665480271,"Aug",2,"High","Train"
1206799,"Local movements",333.24,-0.15,0.6,2951.24,422.77,20859.31,994.41,52.63,2737.59,0.0607588812193859,"Jun",2,"High","Train"
1677520,"Local movements",227.96,-0.89,1.22,0,41.39,10165.92,8645.22,358.43,4022.34,-0.683384803583336,"Aug",2,"High","Test"
79292,"Local movements",201.01,0.65,2.1,3109.31,95.54,7988.09,5916.12,67.78,3707.32,-0.90830066635937,"Mar",2,"High","Train"
546044,"Local movements",234.79,0.84,1.25,2785.06,133.81,8053.67,4654.49,206.84,16316.02,-0.997438340407019,"Dec",2,"High","Train"
1350828,"Local movements",254.67,0.42,0.7,3615.92,358.17,4605.66,1900.07,233.52,9864.87,0.0376021528879766,"Oct",2,"High","Test"
1385566,"Local movements",242.53,0.03,0.39,6158.7,436.88,5889.51,3439.9,213.02,15669.39,-0.985314068157884,"Oct",2,"High","Test"
2321821,"Local movements",220.92,-0.01,8.19,121.94,-58.47,10393.65,12190.57,696.63,3512.87,-0.695563326462902,"Apr",1,"Moderate","Train"
13751,"Dispersal/migration",248.01,0.13,0.61,292.5,8.6,1028.61,2798.32,3.27,6708.19,-0.999932805943894,"Dec",2,"High","Test"
